TLM_ID,MNEMONIC,BIT_LENGTH,DATATYPE,UNITS,HIGH_RATE,CONVERSION_ID,RED_LOW,YELLOW_LOW,YELLOW_HIGH,RED_HIGH,GROUPS,,,,
1,TBM_TEMP,32,FLOAT,F,FALSE,,77,77,150,150,ALL,TBM,THERMALS,SKELETON,
2,EPB_PRESSURE,32,FLOAT,PSI,FALSE,,0.125,0.125,14.9,14.9,ALL,TBM,,SKELETON,EXCAVATION
3,ACCEL_X,32,FLOAT,g,FALSE,,-2.78,-2.78,2.78,2.78,ALL,TBM,,,
4,ACCEL_Y,32,FLOAT,g,FALSE,,-2.78,-2.78,2.78,2.78,ALL,TBM,,,
5,ACCEL_Z,32,FLOAT,g,FALSE,,-2.78,-2.78,2.78,2.78,ALL,TBM,,,
6,VEL_X,32,FLOAT,MPH,FALSE,,-20,-20,400,400,ALL,TBM,,,
7,VEL_Y,32,FLOAT,MPH,FALSE,,-20,-20,400,400,ALL,TBM,,,
8,VEL_Z,32,FLOAT,MPH,FALSE,,-20,-20,400,400,ALL,TBM,,,
9,POS_X,32,FLOAT,m,FALSE,,0,0,1265,1265,ALL,TBM,,SKELETON,
10,POS_Y,32,FLOAT,m,FALSE,,0,0,1265,1265,ALL,TBM,,SKELETON,
11,POS_Z,32,FLOAT,m,FALSE,,0,0,1265,1265,ALL,TBM,,SKELETON,
12,PRIM1_V,32,FLOAT,V,FALSE,,20,20,29.3,29.3,ALL,AVIONICS,,,
13,PRIM2_V,32,FLOAT,V,FALSE,,20,20,29.3,29.3,ALL,AVIONICS,,,
14,RESV_V,32,FLOAT,V,FALSE,,20,20,29.3,29.3,ALL,AVIONICS,,,
15,PRIM1_A,32,FLOAT,A,FALSE,,2.5,2.5,12,12,ALL,AVIONICS,,,
16,PRIM2_A,32,FLOAT,A,FALSE,,2.5,2.5,12,12,ALL,AVIONICS,,,
17,RESV_A,32,FLOAT,A,FALSE,,2.5,2.5,12,12,ALL,AVIONICS,,,
18,PRIM1_TEMP,32,FLOAT,F,FALSE,,77,77,140,140,ALL,AVIONICS,THERMALS,,
19,PRIM2_TEMP,32,FLOAT,F,FALSE,,77,77,140,140,ALL,AVIONICS,THERMALS,,
20,RESV_TEMP,32,FLOAT,F,FALSE,,77,77,140,140,ALL,AVIONICS,THERMALS,,
21,MTR_RPM,32,FLOAT,RPM,FALSE,,0,0,6000,6000,ALL,HYDRAULICS,,,
22,MTR_V,32,FLOAT,V,FALSE,,0,0,800,800,ALL,HYDRAULICS,,,
23,MTR_A,32,FLOAT,A,FALSE,,0,0,250,250,ALL,HYDRAULICS,,,
24,MTR_TEMP,32,FLOAT,F,FALSE,,77,77,302,302,ALL,HYDRAULICS,THERMALS,EXCAVATION,
25,CAN_CONNECTED,32,UINT,STATE,FALSE,,0,0,1,1,ALL,HYDRAULICS,,,
26,INT_HYD_TEMP,32,FLOAT,F,FALSE,,200,200,540,540,ALL,HYDRAULICS,THERMALS,EXCAVATION,
27,EXT_HYD_TEMP,32,FLOAT,F,FALSE,,200,200,540,540,ALL,HYDRAULICS,THERMALS,EXCAVATION,
28,CIM_SPEED,32,FLOAT,MPH,FALSE,,0,0,2,2,ALL,EXCAVATION,,,
29,SOIL_BOX_WEIGHT,32,FLOAT,kg,FALSE,,2,2,4,4,ALL,EXCAVATION,,,
30,FSM_STATE,32,UINT,STATE,FALSE,,,,,,ALL,SOFTWARE,,,
31,INIT_CHECKS,32,UINT,ID,FALSE,,,,,,ALL,SOFTWARE,,,
32,TIME_SEC,32,UINT,SEC,FALSE,,,,,,ALL,SOFTWARE,,,
33,TIME_USEC,32,UINT,USEC,FALSE,,,,,,ALL,SOFTWARE,,,
34,LAST_COMMAND,32,UINT,ID,FALSE,,,,,,ALL,SOFTWARE,,,
35,THROTTLE,32,FLOAT,PCT,FALSE,,,,,,ALL,SOFTWARE,,,
